Id,Component 1,Role 1,Component 2,Role 2,Source
1,Cc1ccccn1,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
2,Cc1ccccn1,Solvent,Cc1ccccc1,Solute,10.13020/3eks-j059
3,Cc1ccccn1,Solvent,CCO,Solute,10.13020/3eks-j059
4,Cc1ccccn1,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
6,CC(=O)c1ccccc1,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
7,CC(=O)c1ccccc1,Solvent,Cc1ccccc1,Solute,10.13020/3eks-j059
8,CC(=O)c1ccccc1,Solvent,CCO,Solute,10.13020/3eks-j059
9,CC(=O)c1ccccc1,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
11,COc1ccccc1,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
12,COc1ccccc1,Solvent,Cc1ccccc1,Solute,10.13020/3eks-j059
13,COc1ccccc1,Solvent,CCO,Solute,10.13020/3eks-j059
14,COc1ccccc1,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
16,COc1ccccc1,Solvent,CCCCN,Solute,10.13020/3eks-j059
18,c1ccccc1,Solvent,C1CCCCC1,Solute,10.13020/3eks-j059
19,c1ccccc1,Solvent,CC(C)O,Solute,10.13020/3eks-j059
20,c1ccccc1,Solvent,CC(C)(C)O,Solute,10.13020/3eks-j059
22,c1ccccc1,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
23,c1ccccc1,Solvent,CC(C)=O,Solute,10.13020/3eks-j059
25,c1ccccc1,Solvent,COC(C)=O,Solute,10.13020/3eks-j059
26,c1ccccc1,Solvent,CNC,Solute,10.13020/3eks-j059
27,c1ccccc1,Solvent,CN(C)C,Solute,10.13020/3eks-j059
28,c1ccccc1,Solvent,c1ccncc1,Solute,10.13020/3eks-j059
29,c1ccccc1,Solvent,Cc1cccc(C)n1,Solute,10.13020/3eks-j059
30,c1ccccc1,Solvent,O=Cc1cccc(O)c1,Solute,10.13020/3eks-j059
31,c1ccccc1,Solvent,O=Cc1ccc(O)cc1,Solute,10.13020/3eks-j059
32,c1ccccc1,Solvent,Oc1ccc(Br)cc1,Solute,10.13020/3eks-j059
34,c1ccccc1,Solvent,C1CCNCC1,Solute,10.13020/3eks-j059
35,c1ccccc1,Solvent,CN,Solute,10.13020/3eks-j059
36,c1ccccc1,Solvent,COC(=O)c1ccccc1,Solute,10.13020/3eks-j059
38,c1ccccc1,Solvent,Cc1cncc(C)c1,Solute,10.13020/3eks-j059
39,c1ccccc1,Solvent,NC(=O)c1ccccc1,Solute,10.13020/3eks-j059
40,c1ccccc1,Solvent,Cc1ccccc1N,Solute,10.13020/3eks-j059
41,CCBr,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
42,CCBr,Solvent,Cc1ccccc1,Solute,10.13020/3eks-j059
43,CCBr,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
45,CCCCCCCCBr,Solvent,COC(C)=O,Solute,10.13020/3eks-j059
46,CCCCCCCCBr,Solvent,CCCCCOC(C)=O,Solute,10.13020/3eks-j059
47,CCCCO,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
48,CCCCO,Solvent,c1ccccc1,Solute,10.13020/3eks-j059
49,CCCCO,Solvent,CO,Solute,10.13020/3eks-j059
50,CCCCO,Solvent,CCO,Solute,10.13020/3eks-j059
53,CCCCO,Solvent,CCN,Solute,10.13020/3eks-j059
54,CCCCO,Solvent,CCCN,Solute,10.13020/3eks-j059
55,CCCCO,Solvent,CCNCC,Solute,10.13020/3eks-j059
57,CCCCc1ccccc1,Solvent,Oc1ccccc1,Solute,10.13020/3eks-j059
59,CCCCc1ccccc1,Solvent,CC(=O)C(C)(C)C,Solute,10.13020/3eks-j059
60,CCCCc1ccccc1,Solvent,CCCCOC(C)=O,Solute,10.13020/3eks-j059
63,CCCCCCCl,Solvent,CC(=O)C(C)(C)C,Solute,10.13020/3eks-j059
66,C1CCCCC1,Solvent,CCC,Solute,10.13020/3eks-j059
67,C1CCCCC1,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
68,C1CCCCC1,Solvent,CC(C)O,Solute,10.13020/3eks-j059
69,C1CCCCC1,Solvent,CC(C)(C)O,Solute,10.13020/3eks-j059
70,C1CCCCC1,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
71,C1CCCCC1,Solvent,COc1ccccc1,Solute,10.13020/3eks-j059
72,C1CCCCC1,Solvent,CCC(=O)CC,Solute,10.13020/3eks-j059
73,C1CCCCC1,Solvent,CC(=O)C(C)(C)C,Solute,10.13020/3eks-j059
74,C1CCCCC1,Solvent,COC(C)=O,Solute,10.13020/3eks-j059
75,C1CCCCC1,Solvent,CCN,Solute,10.13020/3eks-j059
76,C1CCCCC1,Solvent,CN(C)C,Solute,10.13020/3eks-j059
77,C1CCCCC1,Solvent,CCNCC,Solute,10.13020/3eks-j059
78,C1CCCCC1,Solvent,c1ccncc1,Solute,10.13020/3eks-j059
79,C1CCCCC1,Solvent,CNc1ccccc1,Solute,10.13020/3eks-j059
82,C1CCCCC1,Solvent,O=Cc1cccc(O)c1,Solute,10.13020/3eks-j059
83,C1CCCCC1,Solvent,O=Cc1ccc(O)cc1,Solute,10.13020/3eks-j059
84,C1CCCCC1,Solvent,Clc1ccccc1,Solute,10.13020/3eks-j059
85,C1CCCCC1,Solvent,Clc1ccc(Cl)cc1,Solute,10.13020/3eks-j059
86,C1CCCCC1,Solvent,Brc1ccccc1,Solute,10.13020/3eks-j059
87,C1CCCCC1,Solvent,Oc1ccc(Br)cc1,Solute,10.13020/3eks-j059
90,C1CCCCC1,Solvent,COC(=O)c1ccccc1,Solute,10.13020/3eks-j059
91,C1CCCCC1,Solvent,C1CCOCC1,Solute,10.13020/3eks-j059
93,C1CCCCC1,Solvent,CN(C)C=O,Solute,10.13020/3eks-j059
94,C1CCCCC1,Solvent,c1cc[nH]c1,Solute,10.13020/3eks-j059
95,C1CCCCC1,Solvent,NC(=O)c1ccccc1,Solute,10.13020/3eks-j059
96,C1CCCCC1,Solvent,Cc1ccccc1N,Solute,10.13020/3eks-j059
101,CCCCOCCCC,Solvent,CCCCCCCC,Solute,10.13020/3eks-j059
102,CCCCOCCCC,Solvent,CCO,Solute,10.13020/3eks-j059
103,CCCCOCCCC,Solvent,C1COCCO1,Solute,10.13020/3eks-j059
105,CCCCOCCCC,Solvent,CCNCC,Solute,10.13020/3eks-j059
106,CCCCOCCCC,Solvent,c1ccncc1,Solute,10.13020/3eks-j059
107,CCCCOCCCC,Solvent,Cc1cnccn1,Solute,10.13020/3eks-j059
108,CCCCOCCCC,Solvent,Cc1ccccn1,Solute,10.13020/3eks-j059
